repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
2019-2-atom-frontend-n-tarasov.git, 0.952, 0.952, 0.634, 0.952, 0.761, 0.665, 1494, 2245, 6, 6.0
til.git, 0.937, 0.937, 0.791, 0.937, 0.858, 0.844, 6519, 7726, 15, 9.7
scrapbook_frontend.git, 0.664, 0.664, 0.604, 0.664, 0.633, 0.910, 122, 134, 8, 6.5
deprecated_datacenter.git, 0.961, 0.961, 0.832, 0.961, 0.892, 0.866, 69740, 80541, 60, 9.9
buddy-app-be.git, 0.858, 0.858, 0.710, 0.858, 0.777, 0.828, 1214, 1467, 20, 6.6
slate.git, 0.908, 0.908, 0.694, 0.908, 0.787, 0.765, 660, 863, 5, 5.4
kumo-discord-bot.git, 0.968, 0.968, 0.855, 0.968, 0.908, 0.884, 5303, 5999, 17, 7.0
slate.git, 0.908, 0.908, 0.694, 0.908, 0.787, 0.765, 660, 863, 5, 5.4
otus_web.git, 0.918, 0.918, 0.848, 0.918, 0.881, 0.924, 1057, 1144, 73, 7.7
hr_application.git, 0.877, 0.877, 0.815, 0.877, 0.845, 0.929, 1255, 1351, 30, 7.0
todo-web.git, 0.793, 0.793, 0.660, 0.793, 0.721, 0.832, 944, 1135, 7, 3.9
demo-res.git, 0.878, 0.878, 0.765, 0.878, 0.817, 0.871, 6117, 7019, 22, 7.1
niagara_falls_answers.git, 0.908, 0.908, 0.683, 0.908, 0.780, 0.752, 2209, 2937, 2, 8.5
mindsprint.git, 0.742, 0.742, 0.692, 0.742, 0.716, 0.933, 749, 803, 1, 3.0
whatsfordinner3.git, 0.953, 0.953, 0.567, 0.953, 0.711, 0.595, 507, 852, 8, 5.5
matt-peet-illustration.git, 0.736, 0.736, 0.399, 0.736, 0.518, 0.543, 159, 293, 7, 5.4
booking-server.git, 0.962, 0.962, 0.697, 0.962, 0.808, 0.725, 287, 396, 6, 5.2
fexmessenger.git, 0.966, 0.966, 0.957, 0.966, 0.961, 0.991, 44958, 45384, 287, 10.8
ox15.github.io.git, 0.769, 0.769, 0.499, 0.769, 0.605, 0.649, 2224, 3427, 10, 4.6
first-react-app.git, 0.952, 0.952, 0.916, 0.952, 0.934, 0.962, 33390, 34707, 154, 10.3
riftsketchedit.git, 0.897, 0.897, 0.601, 0.897, 0.720, 0.670, 706, 1053, 4, 4.5
yumi-s-house.git, 1.000, 1.000, 0.268, 1.000, 0.422, 0.268, 227, 848, 4, 3.5
bewell-in-school.git, 0.904, 0.904, 0.737, 0.904, 0.812, 0.815, 1741, 2136, 9, 4.7
cs-table.git, 0.869, 0.869, 0.490, 0.869, 0.627, 0.564, 199, 353, 5, 2.8
akshay23sept.github.io.git, 0.894, 0.894, 0.636, 0.894, 0.744, 0.712, 689, 968, 2, 3.0
metrics-module.git, 0.949, 0.949, 0.793, 0.949, 0.864, 0.835, 1108, 1327, 8, 3.8
