repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
bookable.git, 0.918, 0.918, 0.502, 0.918, 0.649, 0.547, 486, 889, 3, 4.0
sfchat.git, 0.877, 0.877, 0.841, 0.877, 0.859, 0.959, 2983, 3111, 45, 5.8
birthregistration.git, 0.864, 0.864, 0.762, 0.864, 0.810, 0.882, 8792, 9971, 32, 8.8
odooapps.git, 0.872, 0.872, 0.852, 0.872, 0.862, 0.977, 4134, 4233, 85, 6.0
microsoft-devops-projects.git, 0.898, 0.898, 0.800, 0.898, 0.846, 0.891, 18132, 20359, 213, 10.8
map-dispatch-to-props-lab-onl01-seng-pt-100619.git, 1.000, 1.000, 0.109, 1.000, 0.196, 0.109, 20, 184, 1, 2.0
full-stack-web-development.git, 0.945, 0.945, 0.630, 0.945, 0.756, 0.667, 1790, 2685, 8, 8.5
zmartr.git, 0.920, 0.920, 0.896, 0.920, 0.908, 0.974, 5727, 5880, 92, 7.0
code-fellows-coursework.git, 0.964, 0.964, 0.932, 0.964, 0.948, 0.966, 21325, 22070, 137, 8.5
lipp_original.git, 0.997, 0.997, 0.991, 0.997, 0.994, 0.994, 8849, 8904, 17, 5.7
certificates-for-everyone-netlify.git, 0.931, 0.931, 0.693, 0.931, 0.794, 0.744, 1254, 1685, 6, 7.5
friendslauncher.git, 0.958, 0.958, 0.890, 0.958, 0.923, 0.929, 6949, 7481, 14, 7.0
radiopadre.git, 0.962, 0.962, 0.388, 0.962, 0.553, 0.404, 1726, 4275, 1, 1.0
mailor.git, 0.949, 0.949, 0.824, 0.949, 0.882, 0.868, 1162, 1338, 9, 4.7
protractor-cucumber-slices.git, 0.890, 0.890, 0.403, 0.890, 0.555, 0.453, 429, 948, 3, 6.0
dylans-cms.git, 0.931, 0.931, 0.546, 0.931, 0.689, 0.587, 1502, 2560, 3, 6.3
jsonservercgivisitkort.git, 0.939, 0.939, 0.866, 0.939, 0.901, 0.922, 2043, 2215, 13, 6.8
trolifystorefrontdemo.git, 0.929, 0.929, 0.820, 0.929, 0.871, 0.882, 2292, 2599, 10, 5.3
practice.git, 0.864, 0.864, 0.785, 0.864, 0.823, 0.909, 4955, 5449, 30, 6.5
react-presentation-components-lab-seattle-web-082619.git, 1.000, 1.000, 0.074, 1.000, 0.138, 0.074, 4, 54, 1, 1.0
trust.git, 0.952, 0.952, 0.810, 0.952, 0.875, 0.851, 457, 537, 4, 5.5
react-component-mounting-and-unmounting-lab-austin-web-012720.git, 1.000, 1.000, 0.099, 1.000, 0.181, 0.099, 34, 342, 1, 1.0
nativosdk-reactnative-sampleapp.git, 0.972, 0.972, 0.439, 0.972, 0.604, 0.451, 356, 789, 2, 6.0
fabric-samples.git, 0.931, 0.931, 0.867, 0.931, 0.898, 0.931, 4198, 4507, 55, 5.4
recurse-graph-wiki.git, 0.929, 0.929, 0.735, 0.929, 0.821, 0.790, 1871, 2367, 9, 5.7
